pH,DO,Cond,Turb,Temp,NH4,NO3,ORP,COD,BOD,TSS,NH3_N,logDate,logTime
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,0.0
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,1.0
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,2.0
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,3.0
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,4.0
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,5.0
8.2,3.33,0.8,11.5,26.9,0.37,0.82,97.0,0.0,0.0,0.0,06:00:00.0000000,2021-09-14,6.0
8.2,3.32,0.9,11.6,26.7,0.38,1.44,98.0,0.0,0.0,0.0,07:00:00.0000000,2021-09-14,7.0
8.2,3.4,0.8,11.5,26.5,0.33,0.1,100.0,0.0,0.0,0.0,08:00:00.0000000,2021-09-14,8.0
8.21,3.35,0.8,11.6,26.2,0.37,0.26,99.0,0.0,0.0,0.0,09:00:00.0000000,2021-09-14,9.0
8.21,3.39,0.8,11.6,26.1,0.35,0.7,100.0,0.0,0.0,0.0,10:00:00.0000000,2021-09-14,10.0
8.2,3.35,0.9,11.5,26.1,0.47,0.09,101.0,0.0,0.0,0.0,11:00:00.0000000,2021-09-14,11.0
8.18,3.66,0.9,11.4,26.2,0.63,0.21,102.0,0.0,0.0,0.0,12:00:00.0000000,2021-09-14,12.0
8.17,3.69,1.0,11.7,26.3,0.63,0.19,101.0,0.0,0.0,0.0,13:00:00.0000000,2021-09-14,13.0
8.17,3.63,1.0,11.6,26.4,0.58,0.08,103.0,0.0,0.0,0.0,14:00:00.0000000,2021-09-14,14.0
8.17,3.67,1.0,11.5,26.4,0.57,0.11,103.0,0.0,0.0,0.0,15:00:00.0000000,2021-09-14,15.0
8.16,3.68,1.0,11.7,26.5,0.62,0.28,105.0,0.0,0.0,0.0,16:00:00.0000000,2021-09-14,16.0
8.16,3.67,1.0,11.7,26.6,0.58,0.37,103.0,0.0,0.0,0.0,17:00:00.0000000,2021-09-14,17.0
8.16,3.73,1.0,11.6,26.5,0.52,0.54,105.0,0.0,0.0,0.0,18:00:00.0000000,2021-09-14,18.0
8.17,3.65,1.0,11.8,26.5,0.53,0.44,106.0,0.0,0.0,0.0,19:00:00.0000000,2021-09-14,19.0
8.16,3.68,1.0,11.5,26.5,0.51,0.94,103.0,0.0,0.0,0.0,20:00:00.0000000,2021-09-14,20.0
8.16,3.67,1.0,11.5,26.5,0.52,0.61,99.0,0.0,0.0,0.0,21:00:00.0000000,2021-09-14,21.0
8.15,3.69,1.0,11.7,26.5,0.5,0.21,102.0,0.0,0.0,0.0,22:00:00.0000000,2021-09-14,22.0
